,Date,Sentence
0,2023-01-31 12:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
1,2023-01-31 13:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
2,2023-01-31 14:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
3,2023-01-31 15:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
4,2023-01-31 16:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
5,2023-01-31 17:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
6,2023-01-31 18:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
7,2023-01-31 19:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
8,2023-01-31 20:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
9,2023-01-31 21:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
10,2023-01-31 22:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
11,2023-01-31 23:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
12,2023-02-01 00:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 0.272%, Hydro reserve margin lag23 decreases the prediction by 0.019%."
13,2023-02-01 01:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Weekly profile lag21 decreases the prediction by 0.078%, Price lag1 decreases the prediction by 0.046%."
14,2023-02-01 02:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Weekly profile lag20 decreases the prediction by 0.187%, Price lag1 increases the prediction by 0.178%."
15,2023-02-01 03:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Weekly profile lag20 decreases the prediction by 0.124%, Price lag1 decreases the prediction by 0.112%."
16,2023-02-01 04:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Weekly profile lag19 decreases the prediction by 0.186%, Price lag1 decreases the prediction by 0.092%."
17,2023-02-01 05:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Weekly profile lag18 decreases the prediction by 0.150%, System marginal price avg lag18 decreases the prediction by 0.113%."
18,2023-02-01 06:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: System marginal price avg lag17 decreases the prediction by 0.111%, Wind reserve margin lag1 decreases the prediction by 0.099%."
19,2023-02-01 07:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Gas tng lag2 increases the prediction by 0.319%, Weekly profile lag16 increases the prediction by 0.193%."
20,2023-02-01 08:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Weekly profile lag15 increases the prediction by 0.118%, Total reserve margin lag15 increases the prediction by 0.082%."
21,2023-02-01 09:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Weekly profile lag14 increases the prediction by 0.116%, System marginal price avg lag14 decreases the prediction by 0.108%."
22,2023-02-01 10:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: Price lag14 decreases the prediction by 0.124%, Weekly profile lag13 increases the prediction by 0.115%."
23,2023-02-01 11:00:00,"The average power price of the past month is $132.2. The top two variables that impact the prediction are: System marginal price avg lag6 increases the prediction by 0.357%, Weekly profile lag12 increases the prediction by 0.219%."
